EndNodes_1,EndNodes_2,branch_length,segment_dia,segment_csarea,nsegment,segment_i_nnode,mid_xpos,mid_ypos,mid_zpos,delP,velocity,velocity_um_sec,qdot,qdot_um3_sec,tau,G,K,glc_ext_dispersion,lac_ext_dispersion,ins_ext_dispersion,cpep_ext_dispersion,glc_ext_disp_vol,lac_ext_disp_vol,ins_ext_disp_vol,cpep_ext_disp_vol
1,2,29.7655429819774,9.24,67.055410235282,3,2,122.190658569336,109.377040863037,72.482364654541,0.575353692933277,773.581933996682,12.893032233278,51872.8539347503,864.547565579172,2.30865342174124,244.891705357889,90158.2010715728,54600.0063002298,77100.0044616413,9600.03583255693,9600.03583255693,123002.151297146,173689.841016768,21626.8301040328,21626.8301040328
2,3,20.3568843048752,10.06,79.48512156921,2,1,132.069385528564,105.12414932251,90.1139488220215,1.5008770925042,3497.60743046076,58.2934571743459,278007.751811546,4633.46253019243,0.349213879080652,503.130464346508,185230.191865806,54600.0337654975,77100.0239117531,9600.19204126701,9600.19204126701,213190.302432195,301043.356234384,37484.7358790129,37484.7358790129
3,7,26.8563477060095,9.62,72.6842017927188,3,1,138.134910583496,102.229499816895,106.553192138672,1.25189237599807,2022.14115616565,33.7023526027608,146977.715848106,2449.62859746843,0.796868634737669,318.899131971082,117404.434012092,54600.0178512134,77100.0126417153,9600.10152877605,9600.10152877605,147769.85906001,208663.997741496,25981.7799645187,25981.7799645187
3,8,27.2529919067083,9.42,69.6934055865013,3,2,140.714424133301,101.730091094971,106.825386047363,1.2318285744368,1880.09231048663,31.3348718414438,131030.035934807,2183.83393224678,0.869733632376413,288.927862009227,106370.349457687,54600.0159142841,77100.0112700378,9600.09051249094,9600.09051249094,139627.277150696,197165.961614802,24550.0752374078,24550.0752374078
4,2,18.1580659297535,12.28,118.436786403274,2,1,115.218963623047,98.4745788574219,86.3479804992676,0.490470112955336,1909.32990281395,31.8221650468992,226134.897872959,3768.91496454932,0.570610638936487,1252.3446897116,461057.446518769,54600.0274652677,77100.0194501118,9600.15620871008,9600.15620871008,356131.088824865,502888.279546251,62617.4425584594,62617.4425584594
4,9,15.7917659710577,6.68,35.0463510063863,2,1,108.094299316406,92.7700576782227,94.7341346740723,5.50108081485541,7286.37521256403,121.439586876067,255360.863263751,4256.01438772919,0.130038040949313,126.088404894632,46420.1257640428,54600.0310149143,77100.0219638693,9600.17639732492,9600.17639732492,121172.758981819,171106.539781432,21305.4798532668,21305.4798532668
5,1,16.2124587958408,11.92,111.594397603755,2,1,112.937835693359,116.526168823242,59.8242168426514,0.1131495534446,464.833854196382,7.74723090327303,51872.853944877,864.54756574795,2.09267788688103,1245.24881260696,458445.061122356,54600.0063002298,77100.0044616413,9600.03583255693,9600.03583255693,375825.461699771,530698.560995016,66079.4410767288,66079.4410767288
5,6,32.074161839886,11.92,111.594397603755,3,2,96.7815437316894,130.587139129639,59.7574996948242,1.75651706228746,3647.46260505704,60.7910434176173,407036.392193563,6783.93986989272,0.52761328045557,629.433285450796,231729.256112942,54600.0494367016,77100.0350096486,9600.28117124061,9600.28117124061,189967.85189401,268251.186268902,33401.8890183126,33401.8890183126
6,11,30.0354676020709,11.56,104.955584008189,3,2,94.3700332641601,141.472946166992,45.641487121582,3.90363862811137,8141.27000230245,135.687833371708,854471.747660006,14241.1957943334,0.221357116962659,594.561712357983,218891.098552688,54600.103780069,77100.0734940566,9600.59024914224,9600.59024914224,190793.959164124,269417.588161174,33548.1894196505,33548.1894196505
7,14,20.8260812166047,8.82,61.0980080862797,2,1,125.649761199951,96.1567115783691,115.087097167969,3.54137269055082,6200.72580267063,103.345430044511,378851.995232373,6314.19992053955,0.201519130624692,290.580711503948,106978.854906527,54600.046013559,77100.0325854776,9600.26170211693,9600.26170211693,160181.5539924,226190.341109595,28164.5337404465,28164.5337404465
8,7,5.28294945994693,20.18,319.839579035935,1,0,138.063385009766,96.1488227844238,118.747520446777,0.020063801561264,724.970562567325,12.0828427094554,231874.279544978,3864.57132574964,0.437227363376398,31391.2197849089,11556846.734003,54600.0281623457,77100.0199437623,9600.160173341,9600.160173341,3305587.18291624,4667778.50317024,581211.539462613,581211.539462613
9,14,12.3933753985245,10.76,90.9315144025644,1,0,112.459571838379,93.3468399047852,107.034008026123,1.283531457153,5620.60073130518,93.6766788550863,511089.73634974,8518.16227249567,0.13229947463975,1081.58207354518,398190.269121558,54600.0620745253,77100.0439593914,9600.35304886243,9600.35304886243,400606.466863071,565691.228764557,70438.8121444517,70438.8121444517
10,4,26.2450051072655,9.26,67.346007555739,3,1,99.9159240722656,104.275279998779,82.051944732666,4.66835657844786,7149.58137230639,119.15968953844,481495.761119717,8024.92935199529,0.220250700626398,280.154295101453,103140.313519026,54600.058480182,77100.041413981,9600.33260603498,9600.33260603498,140106.505444428,197842.597111034,24634.937946522,24634.937946522
10,13,16.6935625874314,4.34,14.793445646489,2,1,92.2555160522461,111.417724609375,69.0954875946045,3.73111721031819,1973.37945461557,32.8896575769261,29193.0817017535,486.551361695891,0.507562675238761,21.2524933190183,7824.21994705009,54600.0035456527,77100.0025109291,9600.02016589955,9600.02016589955,48385.2491354274,68324.2232157403,8507.31386938089,8507.31386938089
11,17,32.955634530411,10.56,87.5825766338377,3,2,112.643035888672,142.635276794434,41.807767868042,6.15092668923535,9756.18416944802,162.6030694908,854471.747674515,14241.1957945752,0.202675353138248,377.334048096841,138917.563294961,54600.103780069,77100.0734940566,9600.59024914225,9600.59024914225,145104.70945782,204900.412068732,25514.4360958869,25514.4360958869
12,6,34.4163627635302,10.94,93.9992796287948,3,2,100.324859619141,152.147689819336,69.3301029205322,2.92008046457249,4759.98706847362,79.3331178078937,447435.355478899,7457.25592464832,0.433820877264271,416.202148012538,153227.063742713,54600.0543433673,77100.038484408,9600.30907790164,9600.30907790164,149125.746123532,210578.559003523,26220.7294750158,26220.7294750158
12,19,32.6236425603691,9.46,70.2865382794991,3,2,118.399833679199,151.838386535645,92.0736618041992,8.19695437801238,10540.073061918,175.6678843653,740825.248735215,12347.0874789203,0.18571204792635,245.489033167895,90378.1105238813,54600.0899771065,77100.063719196,9600.51174479298,9600.51174479298,117634.053497813,166109.488538051,20683.9789580363,20683.9789580363
13,5,15.3301706584239,12.68,126.278201666634,2,1,98.3057327270508,112.766151428223,60.7333755493164,0.739206234707126,3634.11293526598,60.5685489210997,458909.24611884,7648.487435314,0.25310447305571,1686.28130278217,620813.549145267,54600.0557369314,77100.03947129,9600.31700379753,9600.31700379753,449753.430864059,635091.059962274,79080.0568161318,79080.0568161318
14,21,27.8547397658343,14.5,165.129963854314,3,2,119.584671020508,106.000267028809,120.240081787109,1.52320201917701,5389.34128487136,89.822354747856,889941.731569367,14832.3621928228,0.310109213280218,1586.98529843099,584257.190028022,54600.1080880843,77100.076544869,9600.61475097935,9600.61475097935,323683.292352486,457068.813424533,56914.8798422072,56914.8798422072
15,8,35.2948239599944,11.6,105.683176866761,3,2,125.614097595215,92.4994506835938,127.717071533203,0.533948060614421,954.212831927663,15.9035471987944,100844.243485144,1680.73739141906,2.21930513481106,513.004218990383,188865.267848526,54600.0122480615,77100.0086737245,9600.06966084997,9600.06966084997,163488.639520618,230860.305815088,28745.4574373514,28745.4574373514
16,10,35.1255865220993,10.26,82.6769797052572,3,2,94.2037963867188,122.249568939209,92.4616165161133,4.39702919631327,6176.91701658421,102.94861694307,510688.842821191,8511.48071368652,0.341195322143312,315.47566053561,116144.064553718,54600.0620258346,77100.0439249101,9600.35277193453,9600.35277193453,128515.098735095,181474.514677322,22596.8659851179,22596.8659851179
16,23,30.8600102291121,10.32,83.6467893574204,3,2,85.866584777832,131.908676147461,119.753131866455,1.14543563657298,1852.99949222597,30.8833248704329,154997.458205633,2583.29097009388,0.999245073468657,367.555328774962,135317.475078188,54600.0188252531,77100.0133315022,9600.10706862691,9600.10706862691,147994.645487146,208981.414027873,26021.3178095639,26021.3178095639
17,36,41.6989808026824,19.68,304.186593639424,4,3,137.778739929199,146.428413391113,68.2378997802734,0.645195915572913,2809.03815454636,46.8173025757727,854471.747634631,14241.1957939105,0.890674569197864,3597.28574076109,1324360.131567,54600.103780069,77100.0734940566,9600.59024914222,9600.59024914222,398297.974231299,562431.221916044,70034.5857044684,70034.5857044684
18,12,11.9547081262246,11.06,96.0727307801641,1,0,108.245212554932,160.362037658691,84.1020584106445,2.57868922761736,12368.3442176415,206.139070294025,1188260.60421787,19804.3434036312,0.0579934124529284,1251.64604262785,460800.235829811,54600.1443204738,77100.102203604,9600.82082269463,9600.82082269463,438788.208835642,619606.709249643,77155.9677098222,77155.9677098222
19,25,17.866476723084,8.08,51.2758186548312,2,1,127.616859436035,146.976188659668,112.612865447998,3.28384131046369,5624.80209062581,93.7467015104301,288416.331968244,4806.9388661374,0.190582457144865,238.564888367328,87828.9493006954,54600.0350296741,77100.0248070065,9600.19923127127,9600.19923127127,156699.137615183,221272.887293956,27552.0508303075,27552.0508303075
19,26,24.0276618089822,10.08,79.8014799494265,2,1,129.98201751709,135.634948730469,111.874465942383,2.86002201507472,5669.17953219472,94.4863255365787,452408.916768136,7540.14861280227,0.254297769254243,429.665633012225,158183.718301314,54600.0549474324,77100.0389121895,9600.31251352171,9600.31251352171,181339.542097945,256067.246920008,31884.8813774145,31884.8813774145
20,13,36.0976621845803,7.76,47.2947924442022,3,2,81.0604438781738,116.077312469482,73.763090133667,11.6193737058429,9085.90866405,151.4318110675,429716.164433223,7161.93607388705,0.238375688239573,100.454132769545,36982.7303357268,54600.0521912788,77100.0369603608,9600.29683789799,9600.29683789799,71536.4369754728,101015.689792737,12578.2119636841,12578.2119636841
20,16,34.0055327754078,11.52,104.230504423741,3,2,83.0087242126465,126.909156799316,97.1292190551758,3.49122729921146,6386.6744645274,106.44457440879,665686.301027915,11094.7716837986,0.319467036852559,517.917198488851,190674.007727388,54600.0808510877,77100.0572564123,9600.45984056145,9600.45984056145,167354.942099349,236319.716324126,29426.4106517762,29426.4106517762
21,26,18.8840692231216,15.64,192.115930589384,2,1,129.225933074951,121.892677307129,123.904327392578,1.3875655661941,8425.05429386952,140.417571564492,1618587.14593283,26976.4524322139,0.134485086251818,3168.48321753129,1166494.17178346,54600.1965858861,77100.1392164641,9601.118082227,9601.118082227,555471.781718394,784373.58066905,97676.3913154466,97676.3913154466
22,9,41.0175296720027,7.82,48.0289826473461,4,3,90.8980674743652,96.5124092102051,110.056705474854,7.61887926461714,5324.46991338884,88.7411652231473,255728.873076469,4262.14788460782,0.462215360468398,91.1711664662377,33565.1562643997,54600.031059611,77100.0219955222,9600.17665153751,9600.17665153751,63933.2491565569,90279.3427138182,11241.2112941769,11241.2112941769
22,15,44.0950223350899,7.08,39.3691824977259,4,3,91.6389694213867,95.672908782959,127.079345703125,4.80702616904364,2561.5020960675,42.691701601125,100844.243488389,1680.73739147315,1.03287104241186,56.9827577785459,20978.5093615273,54600.0122480615,77100.0086737245,9600.06966084997,9600.06966084997,48748.3106423427,68836.8924951565,8571.19181382343,8571.19181382343
23,29,36.4384379278552,10.6,88.2473376393373,3,2,94.0277709960938,134.592597961426,134.418937683105,10.0124973048823,14472.2372147406,241.20395357901,1277136.4038858,21285.60673143,0.151068991147026,346.468463466955,127554.231975976,54600.1551149051,77100.1098479095,9600.88221602292,9600.88221602292,132231.747505891,186722.587813713,23251.6085412433,23251.6085412433
24,18,12.9814520936464,9.94,77.6001659770561,2,0,98.9912376403809,158.88077545166,91.4635543823242,4.29198577566058,15312.6039003423,255.210065005705,1188260.60420748,19804.343403458,0.0508657528587526,752.007656966046,276855.671550914,54600.1443204738,77100.102203604,9600.82082269462,9600.82082269462,326387.235501467,460886.862631951,57391.521686678,57391.521686678
25,33,19.8927550729433,12.4,120.762821603992,2,1,128.556217193604,159.751579284668,122.270946502686,0.711596720736452,2578.24185031255,42.9706975052092,311355.76062124,5189.26267702067,0.462937681440515,1188.47980148091,437545.243742845,54600.0378157878,77100.0267800521,9600.21507729324,9600.21507729324,331460.102039229,468050.641832227,58279.9645643845,58279.9645643845
