EndNodes_1,EndNodes_2,branch_length,segment_dia,segment_csarea,nsegment,segment_i_nnode,mid_xpos,mid_ypos,mid_zpos,delP,velocity,velocity_um_sec,qdot,qdot_um3_sec,tau,G,K,glc_ext_dispersion,lac_ext_dispersion,ins_ext_dispersion,cpep_ext_dispersion,glc_ext_disp_vol,lac_ext_disp_vol,ins_ext_disp_vol,cpep_ext_disp_vol
1,2,329.49956541091,23.1100006103516,419.459268618255,27,24,299.699996948242,3889.34997558594,10,12.4258908685297,9440.91056613546,157.348509435591,3960077.44116154,66001.2906860256,2.0940749079405,865.655278711929,318695.655954213,54600.4809721457,77100.3406106246,9602.73552907894,9602.73552907894,69507.4598542183,98150.2128611916,12224.4665686852,12224.4665686852
2,5,106.401836224638,9.30000019073486,67.9290899385776,9,7,421.199996948242,3916.34997558594,10,165.624535568291,63107.757246428,1051.79595410713,4286852.51781453,71447.5419635755,0.101162051260182,70.3044325088775,25882.955705237,54600.5206606903,77100.3687169091,9602.96125767585,9602.96125767585,34858.0796183136,49222.4388854641,6130.7252026379,6130.7252026379
3,1,206.68665567187,7.36999988555908,42.6603921765868,17,15,221.399993896484,3836.69995117188,10,753.55512944283,92827.9661569091,1547.13276928182,3960077.44120867,66001.2906868111,0.13359335396135,14.2743876365388,5255.19273438787,54600.4809721458,77100.3406106246,9602.73552907897,9602.73552907897,11269.6096597542,15913.6096943743,1982.01699237377,1982.01699237377
4,2,396.275034231438,26.7399997711182,561.581354204742,32,29,638.550003051758,3790.80004882812,10,0.687969014747068,581.883772208231,9.69806287013719,326775.076786462,5446.25127977437,40.8612564733592,1290.17577967941,474985.16616566,54600.0396885445,77100.0281062845,9600.225728597,9600.225728597,77376.4723467732,109262.341689341,13604.9644807752,13604.9644807752
4,7,135.107955370857,21.7399997711182,371.200841194834,11,9,815.399993896484,3763.80004882812,10,26.8277998629492,43991.0661188408,733.184435314013,16329520.7483712,272158.679139521,0.184275536772671,1653.32114057712,608679.087804114,54601.9833058192,77101.4045200743,9611.28005184646,9611.28005184646,150015.608469479,211831.391694113,26406.4039042818,26406.4039042818
5,263,198.206560400878,9.46000003814697,70.2865388463529,16,14,317.25,4025.69995117188,10,163.57362925401,34619.3429979985,576.989049966641,2433273.79646404,40554.5632744006,0.343518755533294,40.4060621582936,14875.7095355845,54600.2955338466,77100.2092885606,9601.68084875262,9601.68084875262,19361.9514172502,27340.7037802486,3404.8767740139,3404.8767740139
5,264,259.902317963597,6.42999982833862,32.4722067920334,21,19,465.75,4043.25,10,765.501737197861,57082.0065670963,951.366776118272,1853578.72135096,30892.9786891827,0.273188348056508,6.57708860336635,2421.39061386854,54600.2251268436,77100.1594283484,9601.28040892323,9601.28040892323,6821.75447722932,9632.89723721025,1199.58438751025,1199.58438751025
6,4,488.304558263698,22.0499992370605,381.862524114031,40,36,1017.89999389648,3564,10,93.4552549757063,43618.5662980492,726.976104967487,16656295.8248083,277604.930413471,0.671692721297266,484.1094236958,178227.493244099,54602.0229943636,77101.4326263587,9611.50578044323,9611.50578044323,42699.7167433776,60294.6402552516,7516.36206491154,7516.36206491154
6,9,157.296819000257,6.55999994277954,33.7985098147566,13,11,1283.84997558594,3481.65002441406,10,516.482445013011,66234.5479410633,1103.90913235105,2238629.01866199,37310.4836443665,0.142490730795254,11.7732238713838,4334.37581524305,54600.2718932189,77100.1925469488,9601.54639268259,9601.54639268259,11732.0098219426,16566.5881298808,2063.09296050922,2063.09296050922
7,168,87.9470398943265,19.2000007629395,289.529201964549,8,6,831.599975585938,3873.15002441406,10,26.4970969902351,52061.9992360913,867.699987268188,15073469.0915045,251224.484858408,0.101356507070161,1545.19664747431,568872.472975414,54601.830751767,77101.2964856871,9610.41240067472,9610.41240067472,179753.912153925,253824.084002777,31638.3022812466,31638.3022812466
7,169,97.3499792350008,6.01999998092651,28.4631434204263,8,7,864,3815.09997558594,10,252.886847381014,44129.056243312,735.484270721867,1256051.65686145,20934.1942810241,0.132361741930189,13.4911849579826,4966.85244752569,54600.1525540522,77100.1080343871,9600.86765117174,9600.86765117174,15963.9682014887,22542.4951289986,2807.09739296566,2807.09739296566
8,6,275.942078856784,20.2199993133545,321.108760659093,23,20,1305.45001220703,3321,10,84.7241835610475,58842.7572165918,980.712620276529,18894924.8435837,314915.414059728,0.281368948611039,605.768399547203,223016.900835274,54602.2948875826,77101.6251733075,9613.05217312589,9613.05217312589,63539.6939572739,89721.7539520398,11186.5333560299,11186.5333560299
9,165,109.341545776691,5.92000007629395,27.5253789031585,9,8,1363.5,3582.90002441406,10,292.272737206193,43912.4636154938,731.874393591563,1208707.19958763,20145.1199931271,0.149399332363732,11.2331521157083,4135.54548789444,54600.1468038199,77100.1039622382,9600.83494672554,9600.83494672554,13744.9102101829,19408.9955465576,2416.89119920638,2416.89119920638
9,166,178.792166478177,5.38000011444092,22.7328795677681,15,13,1399.95001220703,3601.80004882812,10,597.024899292272,45305.3831579069,755.089719298448,1029921.81910029,17165.3636516714,0.236782678811059,4.68576660345809,1725.09022709301,54600.125089399,77100.0885847106,9600.71144595707,9600.71144595707,6942.23965452022,9803.04150335584,1220.70122737997,1220.70122737997
10,8,93.9196079049862,20.0200004577637,314.787912444415,8,6,1432.35003662109,3195.45007324219,10,8.68623707164079,17375.8018110982,289.596696851637,5469692.37916349,91161.5396527249,0.324311737412882,1710.40934812143,629696.419065188,54600.6643227864,77100.470454269,9603.77833584781,9603.77833584781,183003.629632228,258415.645935561,32188.7346141692,32188.7346141692
10,13,259.649489208271,18.2399997711182,261.300077448972,21,19,1568.70001220703,3272.40002441406,10,46.0454994388856,27656.0819363547,460.934698939245,7226536.3519046,120442.272531743,0.563310789588647,426.296573228325,156943.380785696,54600.8777006882,77100.6215623551,9604.99192266423,9604.99192266423,54947.9747311485,77590.7491558644,9666.05072454333,9666.05072454333
11,8,143.329158072323,8.97999954223633,63.3348155985354,12,10,1391.85003662109,3138.75,10,803.748071765527,211972.393661081,3532.87322768469,13425232.4645048,223753.874408413,0.0405701390440934,45.3702015253525,16703.2841957737,54601.6305647962,77101.1547190385,9609.27383727814,9609.27383727814,24127.5693634909,34069.7418602042,4246.18127047635,4246.18127047635
12,10,828.794534560649,16.5499992370606,215.122500616079,67,61,1748.25,2867.40002441406,10,380.976810779423,59018.5996096136,983.643326826894,12696228.7308792,211603.812181321,0.842576279385977,90.5201018394025,33325.4633133828,54601.5420234746,77101.0920166241,9608.77025851191,9608.77025851191,14172.4151979483,20012.4144443581,2494.05926277284,2494.05926277284
13,86,400.94772660867,17.6599998474121,244.946519215649,33,29,1800.90002441406,3507.29992675781,10,101.770544546656,37107.1000048081,618.451666746801,9089254.98436472,151487.583072745,0.648308911054841,242.591190967509,89311.2543010693,54601.1039376219,77100.7817768373,9606.27864522476,9606.27864522476,33356.8429679759,47102.3200076008,5868.65658689718,5868.65658689718
14,17,642.787223866514,5.80999994277954,26.511978421248,52,47,2346.29992675781,1540.34997558594,10,13.2159888337774,325.331386392497,5.42218977320829,8625.17869579258,143.75297826321,118.547533515445,1.77270829290417,652.632111321733,54600.0010475731,77100.0007418611,9600.00595807216,9600.00595807216,2251.99567730361,3180.01584358017,395.955522067308,395.955522067308
