EndNodes_1,EndNodes_2,branch_length,segment_dia,segment_csarea,nsegment,segment_i_nnode,mid_xpos,mid_ypos,mid_zpos,delP,velocity,velocity_um_sec,qdot,qdot_um3_sec,tau,G,K,glc_ext_dispersion,lac_ext_dispersion,ins_ext_dispersion,cpep_ext_dispersion,glc_ext_disp_vol,lac_ext_disp_vol,ins_ext_disp_vol,cpep_ext_disp_vol
1,2,97.8044478472937,78,4778.36242611007,8,7,980.627838134766,1090.21472167969,412.506240844727,0.287084023399075,8371.06867071681,139.517811178613,40000000.0025404,666666.666709007,0.701017648005404,378459.843235281,139332030.842192,54604.8582094964,77103.4404440792,9627.63106651076,9627.63106651076,2667790.7650858,3766988.01384827,470370.331342125,470370.331342125
2,3,182.949070133252,51.32,2068.53644382199,15,13,865.554931640625,1043.43420410156,437.487884521484,0.0515746019264043,348.032863115667,5.80054771859445,719918.661002467,11998.6443500411,31.5399646738158,37915.4648039777,13958782.6975334,54600.0874378919,77100.0619209974,9600.49730301008,9600.49730301008,617342.687879661,871741.451259379,108549.218291335,108549.218291335
2,4,60.8352573087806,81.08,5163.18113679653,5,4,962.175537109375,1034.02673339844,383.444976806641,0.150190203405145,7607.72870304215,126.795478384036,39280081.3334128,654668.022223547,0.479790431678675,710394.533370228,261535575.84214,54604.7707716035,77103.3785230811,9627.13376349507,9627.13376349507,4634390.23518931,6543881.41325731,817069.535792371,817069.535792371
3,5,133.474327169244,45.84,1650.36155897677,11,9,733.681060791016,987.763641357422,461.649627685547,0.0492167127149514,363.199599766422,6.0533266627737,599410.657690252,9990.17762817087,22.0497479493507,33081.1573898595,12179006.3704957,54600.0728015637,77100.0515559712,9600.41405889372,9600.41405889372,675110.061838152,953314.124009477,118705.63163033,118705.63163033
3,49,461.930625371092,39.46,1222.93688288159,38,34,953.897827148437,882.019134521484,452.783935546875,0.0623638852503063,98.5398393717863,1.64233065619644,120508.004000985,2008.46673334976,281.265300399922,5248.69778625916,1932336.37572947,54600.0146363282,77100.0103650262,9600.08324411683,9600.08324411683,144550.6490309,204118.196904994,25415.712302107,25415.712302107
4,6,426.372333267346,33.8,897.270277791781,35,31,1086.80926513672,839.053161621094,321.098266601562,0.0372516376055501,46.7876286744634,0.779793811241057,41981.1485779545,699.685809632575,546.77573368884,3061.10188622775,1126961.15597613,54600.0050988304,77100.0036108449,9600.02899959771,9600.02899959771,114901.830911579,162251.478953895,20202.5788616944,20202.5788616944
4,7,57.5519745236371,70.3,3881.50840934489,5,4,952.872375488281,1006.31115722656,345.586212158203,0.251139912062172,10108.9823992506,168.48303998751,39238100.1926106,653968.33654351,0.34158912688128,424386.022725749,156240001.32204,54604.7656727741,77103.3749122369,9627.10476390273,9627.10476390273,3682738.23623777,5200123.89823053,649285.943845168,649285.943845168
5,8,214.813861815848,32.98,854.262188523402,18,15,706.745208740234,847.494659423828,404.660797119141,0.136991380288237,325.142336418293,5.41903894030489,277756.803890303,4629.28006483839,39.6405828011567,5507.31988403217,2027549.49476302,54600.0337350186,77100.0238901688,9600.19186791804,9600.19186791804,217130.979898837,306607.93762036,38177.6150105374,38177.6150105374
5,23,392.73662984736,42.24,1401.3212261414,32,29,794.233612060547,778.295257568359,435.256042480469,0.107786251105608,229.536131426585,3.82560219044308,321653.853134456,5360.89755224094,102.660080765448,8105.76911399129,2984182.58205587,54600.0390665451,77100.0276658024,9600.22219097522,9600.22219097522,194818.073684231,275100.148784618,34254.4955307986,34254.4955307986
6,9,22.6112312450082,15.96,200.057876817659,2,1,1191.6142578125,656.030944824219,283.724548339844,0.0397388974197384,209.845014836922,3.4974169139487,41981.1481290449,699.685802150748,6.4651232041648,2869.50731711631,1056424.58283689,54600.0050988303,77100.0036108448,9600.0289995974,9600.0289995974,483085.638988228,682159.359562726,84938.3829760005,84938.3829760005
7,10,537.201576189999,33.22,866.74059454346,44,39,733.018188476562,1087.56488037109,171.541955947876,47.9256040085074,46149.9095022632,769.165158371054,40000000.0001185,666666.666668642,0.698421620302836,2267.05070769901,834626.935385478,54604.8582094961,77103.440444079,9627.63106650909,9627.63106650909,88101.4676187786,124401.499872389,15533.5707199783,15533.5707199783
8,15,159.707579252053,37.46,1102.11122942453,13,11,769.764556884766,775.472534179688,293.132339477539,0.0757678388899876,312.058631768735,5.20097719614559,343923.322311178,5732.05537185296,30.7072254364836,12329.5028459161,4539172.917556,54600.0417712888,77100.0295812239,9600.23757420482,9600.23757420482,376784.367060102,532052.447281322,66249.3895732781,66249.3895732781
9,13,76.7036967831316,40.84,1309.96999496032,7,5,1153.73681640625,654.094970703125,264.722457885742,0.00968139375709143,98.6811804332318,1.64468634055386,129269.385434799,2154.48975724665,46.6372796391687,36268.2531244459,13352352.8407376,54600.0157004439,77100.0111186023,9600.08929627466,9600.08929627466,932476.338059279,1316738.37653529,163953.361499848,163953.361499848
9,24,102.219135505898,48,1809.55736846772,9,7,1139.93994140625,632.896697998047,308.725036621094,0.00173753146282252,18.3579519682011,0.305965866136686,33219.7672540349,553.662787567248,334.086729335465,51931.7246592611,19118944.2981777,54600.0040347147,77100.0028572688,9600.02294743996,9600.02294743996,966568.922055543,1364880.24075691,169946.577771604,169946.577771604
11,7,187.1226930679,50.14,1974.50637658519,16,13,930.276336669922,915.194946289062,283.798820495605,0.0612711233852679,385.868497342395,6.43114162237324,761899.808525903,12698.3301420984,29.0963415293049,33776.2055770048,12434892.1062723,54600.0925367221,77100.0655318421,9600.52630260706,9600.52630260706,576136.593100333,813554.831495065,101304.123472576,101304.123472576
12,8,144.701496668613,42.04,1388.08255469918,12,10,757.870941162109,688.657257080078,366.173934936523,0.00832586400065338,47.6675669190603,0.794459448651005,66166.5180653032,1102.77530108839,182.138304119004,21586.2800113808,7947105.3166507,54600.0080362702,77100.0056910551,9600.04570628653,9600.04570628653,523763.197938095,739599.62634011,92090.657498372,92090.657498372
12,35,431.500192777502,31.84,796.22534831878,35,31,815.485595703125,467.619552612305,229.088508605957,0.0326572907479203,35.9655377000097,0.599425628333496,28636.6727826625,477.277879711041,719.856096205204,2381.83263871058,876884.521857837,54600.0034780739,77100.0024630718,9600.01978154526,9600.01978154526,100750.608030326,142268.711217454,17714.4279941712,17714.4279941712
13,18,59.6392085457488,42.96,1449.50069107686,5,4,1096.33465576172,658.929656982422,253.233688354492,0.00561111965271266,81.3930802866985,1.35655133811164,117979.326124444,1966.32210207406,43.9638418909883,57111.717315661,21025986.5100911,54600.0143292071,77100.0101475319,9600.08149736517,9600.08149736517,1327025.63351896,1873876.61097401,233325.10782987,233325.10782987
13,19,171.521886163701,37.3,1092.71661075324,14,12,1064.20596313477,612.092559814453,201.276794433594,0.00271737317962106,10.3321020050469,0.172201700084115,11290.0594849116,188.167658081859,996.052222945059,11285.3695081954,4154769.60234293,54600.0013712369,77100.0009710705,9600.00779890961,9600.00779890961,347840.906953169,491181.933889022,61158.8889316281,61158.8889316281
14,11,124.205262892443,36.26,1032.63176629774,11,9,941.127685546875,782.423034667969,273.229515075684,0.0661877073225696,328.423495939271,5.47372493232119,339140.534705448,5652.3422450908,22.6911772930052,13917.8195259787,5123920.26290663,54600.0411903942,77100.0291698511,9600.23427036676,9600.23427036676,453939.999492537,641002.945037964,79815.5137763013,79815.5137763013
15,11,122.162420600257,47.28,1755.67779782159,10,9,870.724975585938,815.217834472656,234.290870666504,0.0265084582624695,227.375180473973,3.78958634123288,399197.556133832,6653.29260223054,32.2363470838649,40904.6086527206,15059252.114221,54600.048484634,77100.0343354217,9600.27575635559,9600.27575635559,784693.790557165,1108056.12584348,137971.97956278,137971.97956278
16,11,216.585498538663,38.88,1187.25058945167,18,16,937.127777099609,771.731414794922,150.264715194702,0.00606596837769757,19.8456149179751,0.330760248632919,23561.7180093968,392.695300156614,654.811149265497,10550.5633593075,3884246.75869149,54600.0028616941,77100.0020265693,9600.01627588493,9600.01627588493,299299.288359499,422636.896146716,52624.137161498,52624.137161498
17,12,48.6510724109084,49.86,1952.51522801006,4,3,810.225708007812,613.607513427734,370.645324707031,0.0020270997129046,48.5543923517522,0.809239872529204,94803.1904535714,1580.05317422619,60.1194702120324,127033.036381711,46767896.9367172,54600.011514344,77100.0081541269,9600.06548783152,9600.06548783152,2191264.21368212,3094257.38304751,385279.77135982,385279.77135982
17,20,36.4036175638728,35.82,1007.72270646596,3,2,838.714569091797,606.909240722656,349.409149169922,0.0078759160323898,130.121475068887,2.16869125114812,131126.365025761,2185.43941709602,16.7859844247541,45222.834811767,16649030.3459944,54600.0159259838,77100.0112783232,9600.09057903283,9600.09057903283,1511434.28878949,2134277.77878463,265749.118027821,265749.118027821
18,14,143.188284825852,41.82,1373.59258690302,12,10,1011.12655639648,695.351715087891,286.154418945312,0.0313980329192418,179.764649047326,2.99607748412211,246923.389318631,4115.38982197719,47.7919164589991,21361.3466115178,7864294.87330425,54600.0299901389,77100.0212381528,9600.17056891482,9600.17056891482,523773.271887093,739613.703394762,92093.5895174937,92093.5895174937
19,25,42.7322481734119,64.76,3293.84805659043,4,3,984.598602294922,558.415283203125,163.808441162109,7.4506386226858e-05,3.42762039519177,0.0571270065865296,11290.0607774321,188.167679623869,748.021832873142,411596.448136827,151531450.512927,54600.001371237,77100.0009710706,9600.00779891051,9600.00779891051,4208627.3503949,5942951.73357373,739979.017798764,739979.017798764
20,14,164.287111610069,32.14,811.300280667031,14,12,899.479217529297,671.182250976562,320.102462768555,0.0385656375110557,113.665861074785,1.89443101791308,92217.1449922328,1536.95241653721,86.7210840915436,6495.01256403343,2391173.87767275,54600.0112002552,77100.0079316983,9600.06370145166,9600.06370145166,269631.646555013,380743.549882847,47408.0668841204,47408.0668841204
20,26,91.1248860841286,35.16,970.929315784908,8,6,832.078582763672,579.993011474609,301.941650390625,0.00630177507446206,40.0742047908756,0.66790341318126,38909.2202382291,648.487003970485,136.434227293578,16770.9810104392,6174327.03936209,54600.0047257286,77100.0033466249,9600.02687758131,9600.02687758131,581759.248305253,821495.166833366,102287.617886967,102287.617886967
21,15,325.694474806187,42.6,1425.30917100715,27,24,659.74690246582,798.727722167969,172.879131317139,0.0148478497812903,38.7805222092089,0.646342036820149,55274.2339612321,921.237232687202,503.904212092605,10111.7891531927,3722709.67011553,54600.0067133452,77100.0047541978,9600.03818215087,9600.03818215087,238941.389324744,337406.226882562,42011.8347760763,42011.8347760763
21,28,95.2082285073514,45.28,1610.28488981346,8,7,485.8955078125,830.892883300781,87.0114498138427,0.00144952133177867,14.6320185674109,0.243866976123514,23561.7184065717,392.695306776195,390.41050174473,44152.0820564578,16254826.9487416,54600.0028616941,77100.0020265694,9600.01627588521,9600.01627588521,923465.975266716,1304015.10682856,162367.910771784,162367.910771784
22,16,396.519024075242,30.4,725.833566685386,32,29,789.592010498047,833.177947998047,65.8254795074463,0.0184226560759271,20.1268895753592,0.335448159589321,14608.7720467659,243.479534112765,1182.05753330317,2153.92365496676,792978.601269945,54600.0017743119,77100.0012565166,9600.0100913988,9600.0100913988,99946.0596406518,141132.620393129,17572.9514645771,17572.9514645771
22,38,233.439316914173,33.82,898.33245026796,19,17,684.805725097656,850.901824951172,65.8540897369385,0.00433924727531121,9.96618358526351,0.166103059754392,8952.94611997009,149.215768666168,1405.38842125695,5604.28753644254,2063248.65856555,54600.0010873822,77100.0007700528,9600.00618448624,9600.00618448624,210114.360382124,296699.945506129,36943.2073067101,36943.2073067101
23,17,88.3414906371926,41.18,1331.87223646335,8,6,866.891021728516,609.205322265625,391.972915649414,0.0188521654690703,169.633055639765,2.82721759399609,225929.557193046,3765.4926198841,31.2467957276425,32552.222553137,11984276.1598776,54600.027440328,77100.0194324502,9600.15606686553,9600.15606686553,823172.216513337,1162391.24529367,144735.856718613,144735.856718613
23,24,213.397713420325,40.64,1297.17114648959,18,15,999.06689453125,615.858001708984,373.748077392578,0.0203407041462924,73.7946539914824,1.22991089985804,95724.2959229342,1595.4049320489,173.506644623571,12782.7717883708,4706046.32142896,54600.0116262171,77100.0082333522,9600.06612410968,9600.06612410968,331894.651279705,468664.375411667,58355.4930415725,58355.4930415725
24,18,81.5508807475616,38.1,1140.09182796937,7,6,1082.53778076172,637.731384277344,297.236267089844,0.0135549819469816,113.099717415412,1.88499529025686,128944.063570956,2149.0677261826,43.2631748042453,25838.7349441717,9512669.51703091,54600.0156609319,77100.011090621,9600.08907154991,9600.08907154991,763315.259030961,1077868.09627305,134210.483049619,134210.483049619
25,30,118.091397266458,32.62,835.714225496608,10,8,913.402221679688,536.776611328125,192.027900695801,0.00319850854066317,13.5094742425023,0.225157904041706,11290.0598034392,188.167663390654,524.482574880356,9587.76908018644,3529788.8562456,54600.0013712369,77100.0009710705,9600.00779890983,9600.00779890983,386395.613180177,545624.567824698,67937.743714936,67937.743714936
26,30,74.3601837226962,33.04,857.373307728252,6,5,840.400848388672,535.686706542969,244.256172180176,0.00124509797115024,8.56809808188942,0.142801634698157,7346.05859340962,122.43430989016,520.723616924085,16025.7993349583,5899984.38968076,54600.0008922173,77100.0006318426,9600.00507448584,9600.00507448584,629538.296213726,888963.411038441,110688.108781632,110688.108781632
26,31,103.287306573384,32.28,818.38362962308,9,7,777.58642578125,527.455383300781,248.388938903809,0.00815571768089285,38.5676843566696,0.642794739277827,31563.1615099685,526.052691832809,160.684741585512,10512.0435571736,3870065.48594914,54600.0038335113,77100.0027147823,9600.02180309537,9600.02180309537,432616.076429062,610891.910719379,76064.5324998961,76064.5324998961
27,21,137.981726230482,39.5,1225.41748444087,12,10,486.976287841797,740.883209228516,145.855731964111,0.0121374190694041,64.3339541460088,1.07223256910015,78835.9522537363,1313.93253756227,128.686378503015,17642.7714669525,6495281.39408691,54600.0095750393,77100.0067807671,9600.054458036,9600.054458036,484903.386932053,684726.151358945,85258.2070528045,85258.2070528045
28,29,166.418517842639,29.84,699.338630882071,14,12,529.139144897461,913.999816894531,49.951810836792,0.0134332831839856,33.6914295416086,0.561523825693477,23561.7182080883,392.695303468139,296.369468627825,4764.23993804022,1753980.60811948,54600.0028616941,77100.0020265693,9600.01627588507,9600.01627588507,229444.966476387,323996.455185656,40342.0384092792,40342.0384092792
29,22,50.2640687897396,35.68,999.860870850348,5,3,613.698486328125,961.008422851562,56.3127288818359,0.00198487907437084,23.5649967539921,0.392749945899868,23561.7181760321,392.695302933869,127.979823586162,32243.4676164654,11870606.366033,54600.0028616941,77100.0020265693,9600.01627588505,9600.01627588505,1086111.96276392,1533685.53372236,190965.054459406,190965.054459406
30,36,64.7581714425858,31.2,764.537988177612,6,4,858.603881835938,497.026931762695,197.143592834473,0.00345939777253079,24.375660529657,0.406261008827617,18636.1184618444,310.601974364073,159.400410168488,14632.6774288265,5387099.05227544,54600.0022634542,77100.0016029131,9600.01287339572,9600.01287339572,644610.169729763,910246.20987396,113338.199106075,113338.199106075
31,42,177.189625306899,31.64,786.253933236286,15,13,682.148834228516,443.045471191406,194.431983947754,0.0241078630415359,63.8461415118075,1.06410235853012,50199.2798856191,836.654664760319,166.515583662136,5655.97667184152,2082278.29232022,54600.0060969655,77100.0043176954,9600.03467649103,9600.03467649103,242279.814487495,342120.378336634,42598.7978163071,42598.7978163071
32,27,109.807692918149,60.02,2829.31865798223,9,8,483.443557739258,636.668212890625,201.864295959473,0.00140617872693838,21.6242482956526,0.360404138260877,61181.8891677305,1019.69815279551,304.679334282963,118181.962456797,43509326.3720036,54600.0074308609,77100.0052623217,9600.04226302122,9600.04226302122,1406830.57484191,1986568.3143149,247355.881636,247355.881636
33,27,78.2366690748973,52.5,2164.75368786422,7,5,430.095642089844,675.710754394531,163.66527557373,0.000493840429044212,8.15522930284731,0.135920488380788,17654.062708717,294.234378478617,575.606150381929,97101.7063012658,35748516.4648934,54600.0021441784,77100.0015184454,9600.01219501452,9600.01219501452,1510743.71386969,2133302.89485628,265625.595368899,265625.595368899
34,16,186.422028486118,37.72,1117.46325024483,16,13,886.241607666016,642.167846679688,38.2791485786438,0.00223947022914217,8.01184821597977,0.133530803599663,8952.94594789698,149.215765798283,1396.09755547512,10858.9918449112,3997796.36781615,54600.0010873822,77100.0007700527,9600.00618448612,9600.00618448612,327286.93692452,462157.922827224,57544.9918681963,57544.9918681963
35,41,103.096467249731,30.46,728.701526618848,9,7,794.586242675781,311.912216186523,63.1775016784668,0.00931570190914499,39.2982198676045,0.654970331126742,28636.6728109266,477.27788018211,157.406316515703,8349.79498385097,3074022.02112271,54600.0034780739,77100.0024630718,9600.01978154528,9600.01978154528,385921.137253815,544954.555630556,67854.4013873708,67854.4013873708
36,31,132.255923912805,37.32,1093.88873897229,11,9,795.789459228516,488.795608520508,201.276359558105,0.00345122193721181,17.0365756256157,0.283942927093595,18636.1182275108,310.601970458514,465.783477216919,14667.3415931726,5399860.85118787,54600.0022634542,77100.0016029131,9600.01287339556,9600.01287339556,451596.615537849,637694.108762764,79401.7059161739,79401.7059161739
37,32,122.432334793204,44.38,1546.90797041627,10,9,516.443756103516,532.849029541016,222.826530456543,0.00524491749365552,39.5510853463449,0.659184755772415,61181.8891608749,1019.69815268125,185.732958356631,31684.9524700781,11664986.0050007,54600.0074308609,77100.0052623217,9600.04226302121,9600.04226302121,689860.132311013,974143.087778815,121294.606674648,121294.606674648
38,39,111.662500449579,32.18,813.32095306182,10,8,728.4404296875,694.363128662109,41.3280115127563,0.0025321999710286,11.0078882236689,0.183464803727815,8952.94614127237,149.215769021206,608.631727615938,9603.6607529668,3535639.46122138,54600.0010873822,77100.0007700528,9600.00618448626,9600.00618448626,397692.374277595,561576.588871764,69923.9775925613,69923.9775925613
39,34,126.61719513816,23.98,451.635674039334,11,9,774.181457519531,608.289337158203,18.2724623680115,0.0093117386004451,19.8233808841063,0.330389681401772,8952.94598733181,149.21576645553,383.23592492644,2611.5841633622,961468.783810563,54600.0010873822,77100.0007700527,9600.00618448615,9600.00618448615,194754.81404197,275010.915999367,34242.6260444422,34242.6260444422
40,37,60.1432574600356,40.72,1302.28314605552,5,4,543.128753662109,447.091812133789,209.011688232422,0.00363536139593634,46.9804815500607,0.783008025834344,61181.8893162161,1019.69815527027,76.8105248933422,45713.4638948592,16829658.0869803,54600.0074308609,77100.0052623217,9600.04226302132,9600.04226302132,1182255.04328501,1669447.94236713,207869.90543139,207869.90543139
41,42,182.043177393824,38.62,1171.42481645921,15,13,687.252777099609,346.574035644531,103.309864044189,0.00244117945931066,9.37542835873482,0.156257139312247,10982.6094443574,183.043490739291,1165.02310355272,12220.0974904255,4498894.74633656,54600.0013338954,77100.0009446263,9600.0075865303,9600.0075865303,351344.101201132,496128.752247477,61774.8343335598,61774.8343335598
41,43,46.6740975320513,48.46,1844.40674161473,4,3,750.877380371094,295.825622558594,27.7279124259949,0.000405840873099805,9.57167523283705,0.159527920547284,17654.0623279914,294.234372133189,292.576355110309,118156.524995464,43499961.4335292,54600.0021441783,77100.0015184454,9600.01219501426,9600.01219501426,2157612.40970426,3046738.34307079,379360.890693363,379360.890693363
42,40,92.1586919154088,50.22,1980.81218135947,8,6,590.463653564453,400.361557006836,181.893730163574,0.00240780430704035,30.8872741369015,0.514787902281692,61181.8888593639,1019.69814765607,179.02264506787,69019.2970379938,25409826.1559172,54600.0074308608,77100.0052623217,9600.04226302101,9600.04226302101,1173544.86672444,1657148.40816823,206338.439282669,206338.439282669
43,46,96.979913580452,37.64,1112.72824179734,8,7,708.712615966797,264.316772460938,11.5879864692688,0.00231684430218593,15.8655658718597,0.264426097864328,17654.0632177143,294.234386961905,366.756210388168,20697.4416183513,7619874.67222454,54600.0021441784,77100.0015184454,9600.01219501487,9600.01219501487,626469.566170749,884630.084363001,110148.630748472,110148.630748472
44,33,142.260288310802,37.24,1089.20399600726,12,10,385.383987426758,599.532745361328,142.778305053711,0.00354697805869364,16.2082244752026,0.27013707458671,17654.0628665733,294.234381109555,526.622599021071,13519.3248833288,4977212.31269057,54600.0021441784,77100.0015184454,9600.01219501463,9600.01219501463,418040.34860042,590309.711467665,73501.6902375726,73501.6902375726
45,44,144.223516214876,43.52,1487.5365816524,12,10,429.138885498047,498.074722290039,94.1532859802246,0.00192794234226312,11.8679857482451,0.197799762470751,17654.0629510438,294.234382517397,729.138975766984,24872.5015825273,9156945.49782052,54600.0021441784,77100.0015184454,9600.01219501469,9600.01219501469,563150.189922962,795217.56031291,99015.5399007013,99015.5399007013
46,48,201.134861267963,38.36,1155.70522929845,17,14,598.598236083984,326.389358520508,21.2824802398682,0.00445437177950225,15.2755758004328,0.254592930007214,17654.062833105,294.23438055175,790.025321057674,10765.3224769596,3963311.48521189,54600.0021441784,77100.0015184454,9600.01219501461,9600.01219501461,313727.354869955,443010.596830725,55160.9215089081,55160.9215089081
47,45,71.5263880179597,46.74,1715.80250474738,6,5,511.179534912109,471.006866455078,36.460280418396,0.000475318442113348,6.80514005174582,0.11341900086243,11676.2763459422,194.604605765703,630.638495085285,66724.9931519455,24565165.8160525,54600.0014181449,77100.0010042894,9600.00806569921,9600.00806569921,1309765.83312078,1849504.47666906,230288.685632857,230288.685632857
48,45,86.4281463927752,28.98,659.609107706978,7,6,507.695861816406,435.027465820312,42.9970750808716,0.00198962359809229,9.06261994181659,0.151043665696943,5977.78665330911,99.6297775551519,572.206361610597,8160.90506288031,3004481.17877209,54600.0007260335,77100.000514156,9600.00412931552,9600.00412931552,416700.568771077,588417.832221393,73266.0646098323,73266.0646098323
